event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Kattar vs. Ige,Abdul Razak Alhassan,Mounir Lazzez,Blue,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Daniel Movahedi,0,67,133,0.5,70,136,0.51,1,4,0.25,0,0,91,12,6,38.0,177.8,83.91,185.42,Orthodox,3.37,3.99,0.48,0.38,0.55,0.5,0.2,0.89,0,98,177,0.55,114,194,0.59,4,4,1.0,0,0,292,11,3,36.0,185.42,77.11,193.04,Orthodox,7.49,5.42,0.55,0.57,0.53,0.71,0.0,1.8,0,-31,-44,-0.05,-44,-58,-0.0799999999999999,-3,0,-0.75,0,0,-201,1,3,2.0,-7.619999999999976,6.799999999999997,-7.6200000000000045,-4.12,-1.4299999999999995,-0.07,-0.1899999999999999,0.02,-0.2099999999999999,0.2,-0.91,2020-07-15,1,0,1
UFC Fight Night: Whittaker vs. Till,Alex Oliveira,Peter Sobotta,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Daniel Movahedi,1,45,93,0.48,48,96,0.5,0,0,0.0,0,0,26,22,12,36.0,180.34,77.11,193.04,Orthodox,2.99,2.55,0.51,0.38,0.46,0.63,0.6,2.35,0,29,67,0.43,30,68,0.44,0,3,0.0,0,0,47,17,7,37.0,182.88,77.11,190.5,Southpaw,2.14,2.9,0.4,0.32,0.58,0.77,0.5,1.53,1,16,26,0.0499999999999999,18,28,0.06,0,-3,0.0,0,0,-21,5,5,-1.0,-2.539999999999992,0.0,2.539999999999992,0.8500000000000001,-0.3500000000000001,0.1099999999999999,0.06,-0.1199999999999999,-0.14,0.0999999999999999,0.8200000000000001,2020-07-25,7,4,1
UFC Fight Night: Whittaker vs. Till,Khamzat Chimaev,Rhys McKee,Red,Welterweight,0,Men,KO/TKO,1,3.0,189,Rich Mitchell,0,40,62,0.64,68,98,0.69,1,2,0.5,1,0,179,13,0,29.0,187.96,83.91,190.5,Orthodox,5.72,3.46,0.58,0.46,0.42,1.0,2.7,3.99,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,13,5,28.0,187.96,77.11,198.12,Orthodox,6.06,9.47,0.48,0.0,0.44,0.33,0.0,0.0,0,40,62,0.64,68,98,0.69,1,2,0.5,1,0,179,0,-5,1.0,0.0,6.799999999999997,-7.6200000000000045,-0.3399999999999998,-6.010000000000001,0.0999999999999999,0.46,-0.02,0.6699999999999999,2.7,3.99,2020-07-25,0,0,1
UFC Fight Night: Whittaker vs. Till,Ramazan Emeev,Niklas Stolze,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Daniel Movahedi,0,29,67,0.43,67,114,0.59,4,12,0.33,2,0,410,20,6,36.0,177.8,77.11,193.04,Southpaw,2.53,2.14,0.45,0.29,0.65,0.66,0.7,2.37,0,30,72,0.41,41,85,0.48,1,1,1.0,0,0,21,12,6,31.0,185.42,70.31,187.96,Switch,2.12,2.25,0.48,1.0,0.49,0.55,0.7,0.66,0,-1,-5,0.02,26,29,0.1099999999999999,3,11,-0.6699999999999999,2,0,389,8,0,5.0,-7.619999999999976,6.799999999999997,5.079999999999984,0.4099999999999997,-0.1099999999999998,-0.0299999999999999,-0.71,0.16,0.1099999999999999,0.0,1.71,2020-07-25,0,0,1
UFC Fight Night: Brunson vs. Shahbazyan,Vicente Luque,Randy Brown,Red,Welterweight,0,Men,KO/TKO,2,3.0,296,Mark Smith,2,64,122,0.52,76,134,0.57,0,0,0.0,0,0,66,22,9,32.0,180.34,77.11,190.5,Orthodox,5.17,5.15,0.52,0.6,0.52,0.62,0.7,1.04,0,61,133,0.45,66,138,0.48,1,2,0.5,0,0,52,18,5,33.0,190.5,77.11,198.12,Orthodox,4.37,3.33,0.46,0.39,0.54,0.74,0.5,0.78,2,3,-11,0.07,10,-4,0.0899999999999999,-1,-2,-0.5,0,0,14,4,4,-1.0,-10.159999999999997,0.0,-7.6200000000000045,0.7999999999999998,1.8200000000000005,0.06,0.2099999999999999,-0.02,-0.12,0.1999999999999999,0.26,2020-08-01,5,3,1
UFC Fight Night: Lewis vs. Oleinik,Tim Means,Laureano Staropoli,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Jason Herzog,1,85,147,0.57,126,189,0.67,2,6,0.33,0,0,367,33,15,40.0,187.96,77.11,190.5,Orthodox,5.1,3.65,0.49,0.42,0.6,0.65,0.2,1.16,0,71,161,0.44,81,172,0.47,0,1,0.0,0,0,4,9,5,31.0,185.42,83.91,180.34,Orthodox,3.31,3.73,0.34,0.26,0.54,0.48,0.0,0.83,1,14,-14,0.1299999999999999,45,17,0.2,2,5,0.33,0,0,363,24,10,9.0,2.5400000000000205,-6.799999999999997,10.159999999999997,1.7899999999999996,-0.08,0.1499999999999999,0.1599999999999999,0.0599999999999999,0.17,0.2,0.3299999999999999,2020-08-08,8,0,1
UFC Fight Night: Munhoz vs. Edgar,Daniel Rodriguez,Dwight Grant,Red,Welterweight,0,Men,KO/TKO,1,3.0,144,Chris Tognoni,3,15,32,0.46,15,32,0.47,0,0,0.0,0,0,2,17,4,37.0,185.42,77.11,187.96,Southpaw,7.3,5.28,0.5,0.5,0.56,0.63,0.1,0.62,1,30,68,0.44,31,72,0.43,0,0,0.0,0,0,53,11,6,39.0,185.42,83.91,193.04,Switch,3.29,2.66,0.36,1.0,0.6,0.66,0.0,0.61,2,-15,-36,0.02,-16,-40,0.0399999999999999,0,0,0.0,0,0,-51,6,-2,-2.0,0.0,-6.799999999999997,-5.079999999999984,4.01,2.62,0.14,-0.5,-0.0399999999999999,-0.03,0.1,0.01,2020-08-22,0,0,0
UFC Fight Night: Munhoz vs. Edgar,Carlton Minus,Matthew Semelsberger,Blue,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,77,182,0.42,89,197,0.45,0,1,0.0,0,0,0,10,3,30.0,177.8,77.11,190.5,Orthodox,3.5,4.97,0.4,0.0,0.5,0.58,0.0,0.0,1,118,233,0.5,122,237,0.51,2,2,1.0,1,0,166,11,7,31.0,185.42,77.11,190.5,Switch,3.78,4.21,0.43,0.57,0.54,0.45,0.4,1.02,-1,-41,-51,-0.08,-33,-40,-0.06,-2,-1,-1.0,-1,0,-166,-1,-4,-1.0,-7.619999999999976,0.0,0.0,-0.2799999999999998,0.7599999999999998,-0.0299999999999999,-0.57,-0.04,0.1299999999999999,-0.4,-1.02,2020-08-22,0,0,1
UFC Fight Night: Smith vs. Rakic,Robbie Lawler,Neil Magny,Blue,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Jason Herzog,0,26,45,0.57,41,62,0.66,0,1,0.0,0,1,93,30,16,42.0,180.34,77.11,187.96,Southpaw,3.85,4.67,0.47,0.64,0.59,0.65,0.0,0.65,0,62,88,0.7,116,144,0.81,4,7,0.57,0,0,494,29,12,36.0,190.5,77.11,203.2,Orthodox,3.47,2.42,0.46,0.4,0.52,0.54,0.3,2.17,0,-36,-43,-0.13,-75,-82,-0.15,-4,-6,-0.57,0,1,-401,1,4,6.0,-10.159999999999997,0.0,-15.23999999999998,0.3799999999999999,2.25,0.0099999999999999,0.24,0.0699999999999999,0.1099999999999999,-0.3,-1.52,2020-08-29,15,11,1
UFC Fight Night: Smith vs. Rakic,Sean Brady,Christian Aguilera,Red,Welterweight,0,Men,Submission,2,3.0,107,Herb Dean,0,34,60,0.56,65,99,0.66,2,2,1.0,2,0,128,16,1,31.0,177.8,77.11,182.88,Orthodox,3.77,3.55,0.53,0.57,0.61,0.87,1.2,3.29,0,16,39,0.41,17,40,0.42,0,0,0.0,0,0,0,14,8,32.0,175.26,77.11,182.88,Switch,2.54,4.04,0.37,0.0,0.48,0.6,0.0,0.0,0,18,21,0.15,48,59,0.24,2,2,1.0,2,0,128,2,-7,-1.0,2.5400000000000205,0.0,0.0,1.23,-0.4900000000000002,0.16,0.57,0.13,0.27,1.2,3.29,2020-08-29,0,0,1
