event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Rozenstruik vs. Sakai,Roman Dolidze,Laureano Staropoli,Red,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Keith Peterson,0,14,39,0.35,52,89,0.58,5,9,0.55,0,0,577,12,3,35.0,187.96,83.91,193.04,Orthodox,2.62,3.36,0.39,0.4,0.51,0.33,1.3,1.3,0,9,38,0.23,25,63,0.4,3,5,0.6,0,0,50,9,5,31.0,185.42,83.91,180.34,Orthodox,3.31,3.73,0.34,0.26,0.54,0.48,0.0,0.83,0,5,1,0.1199999999999999,27,26,0.1799999999999999,2,4,-0.0499999999999999,0,0,527,3,-2,4.0,2.5400000000000205,0.0,12.699999999999989,-0.69,-0.3700000000000001,0.0499999999999999,0.14,-0.03,-0.1499999999999999,1.3,0.4700000000000001,2021-06-05,0,0,1
UFC Fight Night: Jung vs. Ige,Wellington Turman,Bruno Silva,Blue,Middleweight,0,Men,KO/TKO,1,3.0,285,Chris Tognoni,0,1,1,1.0,12,12,1.0,0,10,0.0,0,0,172,18,8,27.0,182.88,77.11,182.88,Orthodox,3.23,4.17,0.51,0.2,0.45,0.42,0.8,1.55,0,19,26,0.73,28,37,0.76,0,2,0.0,0,0,98,23,10,34.0,182.88,83.91,187.96,Orthodox,4.43,5.33,0.51,0.27,0.43,0.73,0.0,1.09,0,-18,-25,0.27,-16,-25,0.24,0,8,0.0,0,0,74,-5,-2,-7.0,0.0,-6.799999999999997,-5.0800000000000125,-1.1999999999999995,-1.16,0.0,-0.07,0.02,-0.31,0.8,0.4599999999999999,2021-06-19,0,0,1
UFC 264: Poirier vs. McGregor 3,Omari Akhmedov,Brad Tavares,Blue,Middleweight,0,Men,Decision - Split,3,3.0,300,Marc Goddard,0,48,166,0.28,50,168,0.3,2,9,0.22,0,0,102,21,6,36.0,182.88,83.91,185.42,Orthodox,2.97,2.84,0.34,0.45,0.55,0.65,0.2,2.58,1,84,150,0.56,88,155,0.57,0,0,0.0,0,0,9,20,10,36.0,185.42,83.91,187.96,Orthodox,3.38,3.15,0.43,0.26,0.55,0.81,0.0,0.78,-1,-36,16,-0.28,-38,13,-0.2699999999999999,2,9,0.22,0,0,93,1,-4,0.0,-2.539999999999992,0.0,-2.5400000000000205,-0.4099999999999997,-0.31,-0.0899999999999999,0.19,0.0,-0.16,0.2,1.8,2021-07-10,1,13,1
UFC 264: Poirier vs. McGregor 3,Trevin Giles,Dricus Du Plessis,Blue,Middleweight,0,Men,KO/TKO,2,3.0,101,Chris Tognoni,0,10,32,0.31,10,32,0.31,0,0,0.0,0,0,12,16,6,31.0,182.88,77.11,187.96,Orthodox,3.27,2.22,0.55,0.5,0.58,0.71,0.3,1.19,1,25,48,0.52,26,49,0.53,2,4,0.5,0,1,94,21,2,30.0,185.42,83.91,193.04,Switch,6.49,4.77,0.5,0.51,0.55,0.4,0.8,3.0,-1,-15,-16,-0.21,-16,-17,-0.22,-2,-4,-0.5,0,-1,-82,-5,4,1.0,-2.539999999999992,-6.799999999999997,-5.079999999999984,-3.22,-2.5499999999999994,0.05,-0.01,0.0299999999999999,0.3099999999999999,-0.5,-1.81,2021-07-10,0,0,1
UFC Fight Night: Makhachev vs. Moises,Rodolfo Vieira,Dustin Stoltzfus,Red,Middleweight,0,Men,Submission,3,3.0,114,Herb Dean,0,49,88,0.55,52,93,0.56,3,4,0.75,1,0,130,10,2,34.0,182.88,83.91,185.42,Orthodox,3.19,4.6,0.54,0.3,0.49,1.0,1.6,4.18,0,67,192,0.34,83,209,0.4,0,3,0.0,0,1,9,15,5,32.0,182.88,83.91,190.5,Orthodox,3.49,3.29,0.44,0.4,0.48,0.46,0.7,2.4,0,-18,-104,0.21,-31,-116,0.16,3,1,0.75,1,-1,121,-5,-3,2.0,0.0,0.0,-5.0800000000000125,-0.3000000000000002,1.3099999999999996,0.1,-0.1,0.01,0.54,0.9000000000000001,1.7799999999999998,2021-07-17,0,0,1
UFC Fight Night: Sandhagen vs. Dillashaw,Nassourdine Imavov,Ian Heinisch,Red,Middleweight,0,Men,KO/TKO,2,3.0,189,Mark Smith,0,39,96,0.4,46,103,0.45,1,1,1.0,0,0,71,13,4,29.0,190.5,83.91,190.5,Orthodox,4.53,3.26,0.54,0.31,0.61,0.76,1.5,0.87,0,24,52,0.46,25,53,0.47,0,3,0.0,0,0,63,14,5,35.0,180.34,83.91,182.88,Orthodox,3.25,2.98,0.5,0.17,0.59,0.59,0.7,1.02,0,15,44,-0.06,21,50,-0.0199999999999999,1,-2,1.0,0,0,8,-1,-1,-6.0,10.159999999999997,0.0,7.6200000000000045,1.2800000000000002,0.2799999999999998,0.04,0.1399999999999999,0.02,0.17,0.8,-0.15,2021-07-24,0,0,0
UFC Fight Night: Sandhagen vs. Dillashaw,Punahele Soriano,Brendan Allen,Blue,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Keith Peterson,0,66,149,0.44,66,149,0.44,0,0,0.0,0,0,21,9,4,31.0,180.34,83.91,182.88,Southpaw,3.96,4.55,0.45,0.4,0.48,0.33,0.0,0.79,0,94,211,0.44,94,211,0.45,0,1,0.0,0,0,0,23,5,28.0,187.96,83.91,190.5,Orthodox,3.87,3.6,0.54,0.47,0.46,0.58,1.7,1.36,0,-28,-62,0.0,-28,-62,-0.01,0,-1,0.0,0,0,21,-14,-1,3.0,-7.6200000000000045,0.0,-7.6200000000000045,0.0899999999999998,0.9499999999999996,-0.09,-0.0699999999999999,0.0199999999999999,-0.2499999999999999,-1.7,-0.5700000000000001,2021-07-24,0,0,1
UFC Fight Night: Hall vs. Strickland,Uriah Hall,Sean Strickland,Blue,Middleweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,0,107,258,0.41,122,273,0.45,0,0,0.0,0,0,0,18,11,39.0,182.88,83.91,200.66,Orthodox,3.23,3.85,0.48,0.38,0.54,0.64,0.1,0.54,0,186,428,0.43,221,472,0.47,4,6,0.66,0,0,422,28,6,33.0,185.42,83.91,193.04,Orthodox,5.91,4.33,0.41,0.64,0.62,0.77,0.2,0.85,0,-79,-170,-0.02,-99,-199,-0.0199999999999999,-4,-6,-0.66,0,0,-422,-10,5,6.0,-2.539999999999992,0.0,7.6200000000000045,-2.68,-0.48,0.07,-0.26,-0.0799999999999999,-0.13,-0.1,-0.3099999999999999,2021-07-31,10,2,1
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier,Kelvin Gastelum,Red,Middleweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,1,81,207,0.39,91,218,0.42,0,0,0.0,0,0,2,17,6,40.0,180.34,83.91,195.58,Switch,4.68,4.13,0.52,0.42,0.59,0.63,0.0,0.44,0,89,246,0.36,89,246,0.36,0,8,0.0,0,0,151,18,9,32.0,175.26,77.11,180.34,Southpaw,3.55,3.23,0.41,0.3,0.58,0.59,0.1,0.96,1,-8,-39,0.03,2,-28,0.06,0,-8,0.0,0,0,-149,-1,-3,8.0,5.0800000000000125,6.799999999999997,15.240000000000007,1.13,0.8999999999999999,0.11,0.12,0.01,0.04,-0.1,-0.52,2021-08-21,0,2,1
UFC Fight Night: Barboza vs. Chikadze,Andre Petroski,Micheal Gillmore,Red,Middleweight,0,Men,KO/TKO,3,3.0,192,Jason Herzog,0,46,80,0.57,91,131,0.69,4,9,0.44,1,0,458,10,3,32.0,182.88,83.91,185.42,Switch,3.61,3.03,0.51,0.54,0.51,0.71,2.5,4.48,0,31,52,0.59,38,59,0.64,0,0,0.0,0,0,3,6,5,37.0,180.34,77.11,182.88,Orthodox,2.04,3.02,0.57,0.0,0.43,0.5,0.0,0.0,0,15,28,-0.02,53,72,0.0499999999999999,4,9,0.44,1,0,455,4,-2,-5.0,2.539999999999992,6.799999999999997,2.539999999999992,1.5699999999999998,0.0099999999999997,-0.0599999999999999,0.54,0.08,0.2099999999999999,2.5,4.48,2021-08-28,0,0,1
