date,r_fighter,b_fighter,weight_class,,,,,,,,,,,,,,,
7/15/2015,Sean Strickland,Igor Araujo,Welterweight,,,,,,,,,,,,,,,
7/15/2015,Kevin Casey,Ildemar Alcantara,Middleweight,,,,,,,,,,,,,,,
7/15/2015,Lyman Good,Andrew Craig,Welterweight,,,,,,,,,,,,,,,
7/12/2015,Stephen Thompson,Jake Ellenberger,Welterweight,,,,,,,,,,,,,,,
7/12/2015,Kamaru Usman,Hayder Hassan,Welterweight,,,,,,,,,,,,,,,
7/12/2015,Michael Graves,Vicente Luque,Welterweight,,,,,,,,,,,,,,,
7/12/2015,Jorge Masvidal,Cezar Ferreira,Welterweight,,,,,,,,,,,,,,,
7/12/2015,Michelle Waterson-Gomez,Angela Magana,Women's Strawweight,,,,,,,,,,,,,,,
7/12/2015,Maximo Blanco,Mike de la Torre,Featherweight,,,,,,,,,,,,,,,
7/12/2015,Josh Samman,Caio Magalhaes,Middleweight,,,,,,,,,,,,,,,
7/12/2015,Jerrod Sanders,Russell Doane,Bantamweight,,,,,,,,,,,,,,,
7/12/2015,Trevor Smith,Dan Miller,Middleweight,,,,,,,,,,,,,,,
7/12/2015,George Sullivan,Dominic Waters,Welterweight,,,,,,,,,,,,,,,
7/12/2015,Willie Gates,Darrell Montague,Flyweight,,,,,,,,,,,,,,,
7/11/2015,Conor McGregor,Chad Mendes,Featherweight,,,,,,,,,,,,,,,
7/11/2015,Robbie Lawler,Rory MacDonald,Welterweight,,,,,,,,,,,,,,,
7/11/2015,Jeremy Stephens,Dennis Bermudez,Featherweight,,,,,,,,,,,,,,,
7/11/2015,Gunnar Nelson,Brandon Thatch,Welterweight,,,,,,,,,,,,,,,
7/11/2015,Thomas Almeida,Brad Pickett,Bantamweight,,,,,,,,,,,,,,,
7/11/2015,Matt Brown,Tim Means,Welterweight,,,,,,,,,,,,,,,
7/11/2015,Alex Garcia,Mike Swick,Welterweight,,,,,,,,,,,,,,,
7/11/2015,John Howard,Cathal Pendred,Welterweight,,,,,,,,,,,,,,,
7/11/2015,Cody Garbrandt,Henry Briones,Bantamweight,,,,,,,,,,,,,,,
7/11/2015,Louis Smolka,Neil Seery,Flyweight,,,,,,,,,,,,,,,
7/11/2015,Cody Pfister,Yosdenis Cedeno,Lightweight,,,,,,,,,,,,,,,
6/27/2015,Yoel Romero,Lyoto Machida,Middleweight,,,,,,,,,,,,,,,
6/27/2015,Lorenz Larkin,Santiago Ponzinibbio,Welterweight,,,,,,,,,,,,,,,
6/27/2015,Antonio Carlos Junior,Eddie Gordon,Middleweight,,,,,,,,,,,,,,,
6/27/2015,Thiago Santos,Steve Bosse,Middleweight,,,,,,,,,,,,,,,
6/27/2015,Hacran Dias,Levan Makashvili,Featherweight,,,,,,,,,,,,,,,
6/27/2015,Alex Oliveira,Joe Merritt,Welterweight,,,,,,,,,,,,,,,
6/27/2015,Leandro Silva,Lewis Gonzalez,Welterweight,,,,,,,,,,,,,,,
6/27/2015,Tony Sims,Steve Montgomery,Welterweight,,,,,,,,,,,,,,,
6/27/2015,Sirwan Kakai,Danny Martinez,Bantamweight,,,,,,,,,,,,,,,
6/20/2015,Joanna Jedrzejczyk,Jessica Penne,Women's Strawweight,,,,,,,,,,,,,,,
6/20/2015,Tatsuya Kawajiri,Dennis Siver,Featherweight,,,,,,,,,,,,,,,
6/20/2015,Peter Sobotta,Steve Kennedy,Welterweight,,,,,,,,,,,,,,,
6/20/2015,Nick Hein,Lukasz Sajewski,Lightweight,,,,,,,,,,,,,,,
6/20/2015,Makwan Amirkhani,Masio Fullen,Featherweight,,,,,,,,,,,,,,,
6/20/2015,Mairbek Taisumov,Alan Patrick,Lightweight,,,,,,,,,,,,,,,
6/20/2015,Arnold Allen,Alan Omer,Featherweight,,,,,,,,,,,,,,,
6/20/2015,Noad Lahat,Niklas Backstrom,Featherweight,,,,,,,,,,,,,,,
6/20/2015,Scott Askham,Antonio Dos Santos,Middleweight,,,,,,,,,,,,,,,
6/20/2015,Magomed Mustafaev,Piotr Hallmann,Lightweight,,,,,,,,,,,,,,,
6/20/2015,Taylor Lapilus,Yuta Sasaki,Bantamweight,,,,,,,,,,,,,,,
6/13/2015,Fabricio Werdum,Cain Velasquez,Heavyweight,,,,,,,,,,,,,,,
6/13/2015,Eddie Alvarez,Gilbert Melendez,Lightweight,,,,,,,,,,,,,,,
6/13/2015,Kelvin Gastelum,Nate Marquardt,Middleweight,,,,,,,,,,,,,,,
6/13/2015,Yair Rodriguez,Charles Rosa,Featherweight,,,,,,,,,,,,,,,
6/13/2015,Tecia Torres,Angela Hill,Women's Strawweight,,,,,,,,,,,,,,,
6/13/2015,Henry Cejudo,Chico Camus,Flyweight,,,,,,,,,,,,,,,
6/13/2015,Efrain Escudero,Drew Dober,Lightweight,,,,,,,,,,,,,,,
6/13/2015,Patrick Williams,Alejandro Perez,Bantamweight,,,,,,,,,,,,,,,
6/13/2015,Johnny Case,Francisco Trevino,Lightweight,,,,,,,,,,,,,,,
6/13/2015,Cathal Pendred,Augusto Montano,Welterweight,,,,,,,,,,,,,,,
6/13/2015,Gabriel Benitez,Clay Collard,Featherweight,,,,,,,,,,,,,,,
6/6/2015,Dan Henderson,Tim Boetsch,Middleweight,,,,,,,,,,,,,,,
6/6/2015,Ben Rothwell,Matt Mitrione,Heavyweight,,,,,,,,,,,,,,,
6/6/2015,Dustin Poirier,Yancy Medeiros,Lightweight,,,,,,,,,,,,,,,
6/6/2015,Brian Ortega,Thiago Tavares,Featherweight,,,,,,,,,,,,,,,
6/6/2015,Anthony Birchak,Joe Soto,Bantamweight,,,,,,,,,,,,,,,
6/6/2015,Francisco Rivera,Alex Caceres,Bantamweight,,,,,,,,,,,,,,,
6/6/2015,Shawn Jordan,Derrick Lewis,Heavyweight,,,,,,,,,,,,,,,
6/6/2015,Omari Akhmedov,Brian Ebersole,Welterweight,,,,,,,,,,,,,,,
6/6/2015,Chris Wade,Christos Giagos,Lightweight,,,,,,,,,,,,,,,
6/6/2015,Joe Proctor,Justin Edwards,Lightweight,,,,,,,,,,,,,,,
6/6/2015,Jake Collier,Ricardo Abreu,Middleweight,,,,,,,,,,,,,,,
6/6/2015,Jose Quinonez,Leonardo Morales,Bantamweight,,,,,,,,,,,,,,,
5/30/2015,Carlos Condit,Thiago Alves,Welterweight,,,,,,,,,,,,,,,
5/30/2015,Charles Oliveira,Nik Lentz,Featherweight,,,,,,,,,,,,,,,
5/30/2015,Alex Oliveira,KJ Noons,Welterweight,,,,,,,,,,,,,,,
5/30/2015,Francimar Barroso,Ryan Jimmo,Light Heavyweight,,,,,,,,,,,,,,,
5/30/2015,Francisco Trinaldo,Norman Parke,Lightweight,,,,,,,,,,,,,,,
5/30/2015,Darren Till,Wendell Oliveira Marques,Welterweight,,,,,,,,,,,,,,,
5/30/2015,Jussier Formiga,Wilson Reis,Flyweight,,,,,,,,,,,,,,,
5/30/2015,Nicolas Dalby,Elizeu Zaleski dos Santos,Welterweight,,,,,,,,,,,,,,,
5/30/2015,Mirsad Bektic,Lucas Martins,Featherweight,,,,,,,,,,,,,,,
5/30/2015,Juliana Lima,Ericka Almeida,Women's Strawweight,,,,,,,,,,,,,,,
5/30/2015,Tom Breese,Luiz Dutra,Welterweight,,,,,,,,,,,,,,,
5/23/2015,Daniel Cormier,Anthony Johnson,Light Heavyweight,,,,,,,,,,,,,,,
5/23/2015,Chris Weidman,Vitor Belfort,Middleweight,,,,,,,,,,,,,,,
5/23/2015,Donald Cerrone,John Makdessi,Lightweight,,,,,,,,,,,,,,,
5/23/2015,Andrei Arlovski,Travis Browne,Heavyweight,,,,,,,,,,,,,,,
5/23/2015,Joseph Benavidez,John Moraga,Flyweight,,,,,,,,,,,,,,,
5/23/2015,John Dodson,Zach Makovsky,Flyweight,,,,,,,,,,,,,,,
5/23/2015,Dong Hyun Kim,Joshua Burkman,Welterweight,,,,,,,,,,,,,,,
5/23/2015,Rafael Natal,Uriah Hall,Middleweight,,,,,,,,,,,,,,,
5/23/2015,Colby Covington,Mike Pyle,Welterweight,,,,,,,,,,,,,,,
5/23/2015,Islam Makhachev,Leo Kuntz,Lightweight,,,,,,,,,,,,,,,
5/23/2015,Justin Scoggins,Josh Sampo,Flyweight,,,,,,,,,,,,,,,
5/16/2015,Frankie Edgar,Urijah Faber,Featherweight,,,,,,,,,,,,,,,
5/16/2015,Gegard Mousasi,Constantinos Philippou,Middleweight,,,,,,,,,,,,,,,
5/16/2015,Mark Munoz,Luke Barnatt,Middleweight,,,,,,,,,,,,,,,
5/16/2015,Neil Magny,Hyun Gyu Lim,Welterweight,,,,,,,,,,,,,,,
5/16/2015,Phillipe Nover,Yui Chul Nam,Featherweight,,,,,,,,,,,,,,,
5/16/2015,Levan Makashvili,Mark Eddiva,Featherweight,,,,,,,,,,,,,,,
5/16/2015,Jon Tuck,Tae Hyun Bang,Lightweight,,,,,,,,,,,,,,,
5/16/2015,Kajan Johnson,Zhang Lipeng,Lightweight,,,,,,,,,,,,,,,
5/16/2015,Li Jingliang,Dhiego Lima,Welterweight,,,,,,,,,,,,,,,
5/16/2015,Guangyou Ning,Royston Wee,Bantamweight,,,,,,,,,,,,,,,
5/16/2015,Jon Delos Reyes,Roldan Sangcha'an,Flyweight,,,,,,,,,,,,,,,
5/16/2015,Yao Zhikui,Nolan Ticman,Flyweight,,,,,,,,,,,,,,,
5/9/2015,Stipe Miocic,Mark Hunt,Heavyweight,,,,,,,,,,,,,,,
5/9/2015,Robert Whittaker,Brad Tavares,Middleweight,,,,,,,,,,,,,,,
5/9/2015,Sean O'Connell,Anthony Perosh,Light Heavyweight,,,,,,,,,,,,,,,
5/9/2015,James Vick,Jake Matthews,Lightweight,,,,,,,,,,,,,,,
5/9/2015,Dan Hooker,Hatsu Hioki,Featherweight,,,,,,,,,,,,,,,
5/9/2015,Kyle Noke,Jonavin Webb,Welterweight,,,,,,,,,,,,,,,
5/9/2015,Sam Alvey,Daniel Kelly,Middleweight,,,,,,,,,,,,,,,
5/9/2015,Bec Rawlings,Lisa Ellis,Women's Strawweight,,,,,,,,,,,,,,,
5/9/2015,Brad Scott,Dylan Andrews,Middleweight,,,,,,,,,,,,,,,
5/9/2015,Alex Chambers,Kailin Curran,Women's Strawweight,,,,,,,,,,,,,,,
5/9/2015,Brendan O'Reilly,Vik Grujic,Welterweight,,,,,,,,,,,,,,,
5/9/2015,Ben Nguyen,Alptekin Ozkilic,Flyweight,,,,,,,,,,,,,,,
4/25/2015,Demetrious Johnson,Kyoji Horiguchi,Flyweight,,,,,,,,,,,,,,,
4/25/2015,Quinton Jackson,Fabio Maldonado,Catch Weight,,,,,,,,,,,,,,,
4/25/2015,Michael Bisping,CB Dollaway,Middleweight,,,,,,,,,,,,,,,
4/25/2015,John Makdessi,Shane Campbell,Catch Weight,,,,,,,,,,,,,,,
4/25/2015,Thomas Almeida,Yves Jabouin,Bantamweight,,,,,,,,,,,,,,,
4/25/2015,Patrick Cote,Joe Riggs,Welterweight,,,,,,,,,,,,,,,
4/25/2015,Alexis Davis,Sarah Kaufman,Women's Bantamweight,,,,,,,,,,,,,,,
4/25/2015,Chad Laprise,Bryan Barberena,Lightweight,,,,,,,,,,,,,,,
4/25/2015,Olivier Aubin-Mercier,David Michaud,Lightweight,,,,,,,,,,,,,,,
4/25/2015,Nordine Taleb,Chris Clements,Welterweight,,,,,,,,,,,,,,,
4/25/2015,Valerie Letourneau,Jessica Rakoczy,Women's Strawweight,,,,,,,,,,,,,,,
4/25/2015,Randa Markos,Aisling Daly,Women's Strawweight,,,,,,,,,,,,,,,
4/18/2015,Luke Rockhold,Lyoto Machida,Middleweight,,,,,,,,,,,,,,,
4/18/2015,Jacare Souza,Chris Camozzi,Middleweight,,,,,,,,,,,,,,,
4/18/2015,Max Holloway,Cub Swanson,Featherweight,,,,,,,,,,,,,,,
4/18/2015,Paige VanZant,Felice Herrig,Women's Strawweight,,,,,,,,,,,,,,,
4/18/2015,Beneil Dariush,Jim Miller,Lightweight,,,,,,,,,,,,,,,
4/18/2015,Ovince Saint Preux,Patrick Cummins,Light Heavyweight,,,,,,,,,,,,,,,
4/18/2015,Gian Villante,Corey Anderson,Light Heavyweight,,,,,,,,,,,,,,,
4/18/2015,Aljamain Sterling,Takeya Mizugaki,Bantamweight,,,,,,,,,,,,,,,
4/18/2015,Tim Means,George Sullivan,Welterweight,,,,,,,,,,,,,,,
4/18/2015,Diego Brandao,Jimy Hettes,Featherweight,,,,,,,,,,,,,,,
4/18/2015,Chris Dempsey,Eddie Gordon,Middleweight,,,,,,,,,,,,,,,
4/11/2015,Mirko Filipovic,Gabriel Gonzaga,Heavyweight,,,,,,,,,,,,,,,
4/11/2015,Jimi Manuwa,Jan Blachowicz,Light Heavyweight,,,,,,,,,,,,,,,
4/11/2015,Pawel Pawlak,Sheldon Westcott,Welterweight,,,,,,,,,,,,,,,
4/11/2015,Maryna Moroz,Joanne Wood,Women's Strawweight,,,,,,,,,,,,,,,
4/11/2015,Leon Edwards,Seth Baczynski,Welterweight,,,,,,,,,,,,,,,
4/11/2015,Bartosz Fabinski,Garreth McLellan,Middleweight,,,,,,,,,,,,,,,
4/11/2015,Sergio Moraes,Mickael Lebout,Welterweight,,,,,,,,,,,,,,,
4/11/2015,Yaotzin Meza,Damian Stasiak,Featherweight,,,,,,,,,,,,,,,
4/11/2015,Anthony Hamilton,Daniel Omielanczuk,Heavyweight,,,,,,,,,,,,,,,
4/11/2015,Aleksandra Albu,Izabela Badurek,Women's Strawweight,,,,,,,,,,,,,,,
4/11/2015,Stevie Ray,Marcin Bandel,Lightweight,,,,,,,,,,,,,,,
4/11/2015,Taylor Lapilus,Rocky Lee,Featherweight,,,,,,,,,,,,,,,
4/4/2015,Chad Mendes,Ricardo Lamas,Featherweight,,,,,,,,,,,,,,,
4/4/2015,Al Iaquinta,Jorge Masvidal,Lightweight,,,,,,,,,,,,,,,
4/4/2015,Michael Chiesa,Mitch Clarke,Lightweight,,,,,,,,,,,,,,,
4/4/2015,Julianna Pena,Milana Dudieva,Women's Bantamweight,,,,,,,,,,,,,,,
4/4/2015,Clay Guida,Robert Peralta,Featherweight,,,,,,,,,,,,,,,
4/4/2015,Dustin Poirier,Diego Ferreira,Lightweight,,,,,,,,,,,,,,,
4/4/2015,Liz Carmouche,Lauren Murphy,Women's Bantamweight,,,,,,,,,,,,,,,
4/4/2015,Alexander Yakovlev,Gray Maynard,Lightweight,,,,,,,,,,,,,,,
4/4/2015,Timothy Johnson,Shamil Abdurakhimov,Heavyweight,,,,,,,,,,,,,,,
4/4/2015,Ron Stallings,Justin Jones,Middleweight,,,,,,,,,,,,,,,
3/21/2015,Demian Maia,Ryan LaFlare,Welterweight,,,,,,,,,,,,,,,
3/21/2015,Erick Silva,Josh Koscheck,Welterweight,,,,,,,,,,,,,,,
3/21/2015,Leonardo Santos,Anthony Rocco Martin,Lightweight,,,,,,,,,,,,,,,
3/21/2015,Amanda Nunes,Shayna Baszler,Women's Bantamweight,,,,,,,,,,,,,,,
3/21/2015,Gilbert Burns,Alex Oliveira,Lightweight,,,,,,,,,,,,,,,
3/21/2015,Godofredo Pepey,Andre Fili,Featherweight,,,,,,,,,,,,,,,
3/21/2015,Francisco Trinaldo,Akbarh Arreola,Lightweight,,,,,,,,,,,,,,,
3/21/2015,Edimilson Souza,Katsunori Kikuno,Featherweight,,,,,,,,,,,,,,,
3/21/2015,Leonardo Mafra,Cain Carrizosa,Lightweight,,,,,,,,,,,,,,,
3/21/2015,Christos Giagos,Jorge de Oliveira,Lightweight,,,,,,,,,,,,,,,
3/21/2015,Fredy Serrano,Bentley Syler,Flyweight,,,,,,,,,,,,,,,
3/14/2015,Rafael Dos Anjos,Anthony Pettis,Lightweight,,,,,,,,,,,,,,,
3/14/2015,Joanna Jedrzejczyk,Carla Esparza,Women's Strawweight,,,,,,,,,,,,,,,
3/14/2015,Johny Hendricks,Matt Brown,Welterweight,,,,,,,,,,,,,,,
3/14/2015,Alistair Overeem,Roy Nelson,Heavyweight,,,,,,,,,,,,,,,
3/14/2015,Henry Cejudo,Chris Cariaso,Flyweight,,,,,,,,,,,,,,,
3/14/2015,Ross Pearson,Sam Stout,Lightweight,,,,,,,,,,,,,,,
3/14/2015,Elias Theodorou,Roger Narvaez,Middleweight,,,,,,,,,,,,,,,
3/14/2015,Beneil Dariush,Daron Cruickshank,Lightweight,,,,,,,,,,,,,,,
3/14/2015,Jared Rosholt,Josh Copeland,Heavyweight,,,,,,,,,,,,,,,
3/14/2015,Ryan Benoit,Sergio Pettis,Flyweight,,,,,,,,,,,,,,,
3/14/2015,Joe Duffy,Jake Lindsey,Lightweight,,,,,,,,,,,,,,,
3/14/2015,Germaine de Randamie,Larissa Pacheco,Women's Bantamweight,,,,,,,,,,,,,,,
2/28/2015,Ronda Rousey,Cat Zingano,Women's Bantamweight,,,,,,,,,,,,,,,
2/28/2015,Holly Holm,Raquel Pennington,Women's Bantamweight,,,,,,,,,,,,,,,
2/28/2015,Jake Ellenberger,Josh Koscheck,Welterweight,,,,,,,,,,,,,,,
2/28/2015,Alan Jouban,Richard Walsh,Welterweight,,,,,,,,,,,,,,,
2/28/2015,Tony Ferguson,Gleison Tibau,Lightweight,,,,,,,,,,,,,,,
2/28/2015,Roan Carneiro,Mark Munoz,Middleweight,,,,,,,,,,,,,,,
2/28/2015,Tim Means,Dhiego Lima,Welterweight,,,,,,,,,,,,,,,
2/28/2015,Derrick Lewis,Ruan Potts,Heavyweight,,,,,,,,,,,,,,,
2/28/2015,Valmir Lazaro,James Krause,Lightweight,,,,,,,,,,,,,,,
2/28/2015,Masio Fullen,Alex Torres,Featherweight,,,,,,,,,,,,,,,
2/22/2015,Frank Mir,Antonio Silva,Heavyweight,,,,,,,,,,,,,,,
2/22/2015,Michael Johnson,Edson Barboza,Lightweight,,,,,,,,,,,,,,,
2/22/2015,Sam Alvey,Cezar Ferreira,Middleweight,,,,,,,,,,,,,,,
2/22/2015,Adriano Martins,Rustam Khabilov,Lightweight,,,,,,,,,,,,,,,
2/22/2015,Frankie Saenz,Iuri Alcantara,Bantamweight,,,,,,,,,,,,,,,
2/22/2015,Santiago Ponzinibbio,Sean Strickland,Welterweight,,,,,,,,,,,,,,,
2/22/2015,Marion Reneau,Jessica Andrade,Women's Bantamweight,,,,,,,,,,,,,,,
2/22/2015,Matt Dwyer,William Macario,Welterweight,,,,,,,,,,,,,,,
2/22/2015,Mike de la Torre,Tiago dos Santos e Silva,Featherweight,,,,,,,,,,,,,,,
2/22/2015,Douglas Silva de Andrade,Cody Gibson,Bantamweight,,,,,,,,,,,,,,,
2/22/2015,Ivan Jorge,Josh Shockley,Lightweight,,,,,,,,,,,,,,,
2/14/2015,Benson Henderson,Brandon Thatch,Welterweight,,,,,,,,,,,,,,,
2/14/2015,Max Holloway,Cole Miller,Featherweight,,,,,,,,,,,,,,,
2/14/2015,Neil Magny,Kiichi Kunimoto,Welterweight,,,,,,,,,,,,,,,
2/14/2015,Daniel Kelly,Patrick Walsh,Middleweight,,,,,,,,,,,,,,,
2/14/2015,Kevin Lee,Michel Prazeres,Lightweight,,,,,,,,,,,,,,,
2/14/2015,Ray Borg,Chris Kelades,Flyweight,,,,,,,,,,,,,,,
2/14/2015,Efrain Escudero,Rodrigo de Lima,Lightweight,,,,,,,,,,,,,,,
2/14/2015,Chas Skelly,Jim Alers,Featherweight,,,,,,,,,,,,,,,
2/14/2015,Zach Makovsky,Tim Elliott,Flyweight,,,,,,,,,,,,,,,
2/14/2015,James Moontasri,Cody Pfister,Lightweight,,,,,,,,,,,,,,,
1/31/2015,Tyron Woodley,Kelvin Gastelum,Welterweight,,,,,,,,,,,,,,,
1/31/2015,Al Iaquinta,Joe Lauzon,Lightweight,,,,,,,,,,,,,,,
1/31/2015,Thales Leites,Tim Boetsch,Middleweight,,,,,,,,,,,,,,,
1/31/2015,Thiago Alves,Jordan Mein,Welterweight,,,,,,,,,,,,,,,
1/31/2015,Miesha Tate,Sara McMann,Women's Bantamweight,,,,,,,,,,,,,,,
1/31/2015,Derek Brunson,Ed Herman,Middleweight,,,,,,,,,,,,,,,
1/31/2015,John Lineker,Ian McCall,Flyweight,,,,,,,,,,,,,,,
1/31/2015,Rafael Natal,Tom Watson,Middleweight,,,,,,,,,,,,,,,
1/31/2015,Ildemar Alcantara,Richardson Moreira,Middleweight,,,,,,,,,,,,,,,
1/31/2015,Thiago Santos,Andy Enz,Middleweight,,,,,,,,,,,,,,,
1/24/2015,Anthony Johnson,Alexander Gustafsson,Light Heavyweight,,,,,,,,,,,,,,,
1/24/2015,Gegard Mousasi,Dan Henderson,Middleweight,,,,,,,,,,,,,,,
1/24/2015,Ryan Bader,Phil Davis,Light Heavyweight,,,,,,,,,,,,,,,
1/24/2015,Sam Sicilia,Akira Corassani,Featherweight,,,,,,,,,,,,,,,
1/24/2015,Albert Tumenov,Nicholas Musoke,Welterweight,,,,,,,,,,,,,,,
1/24/2015,Kenny Robertson,Sultan Aliev,Welterweight,,,,,,,,,,,,,,,
1/24/2015,Makwan Amirkhani,Andy Ogle,Featherweight,,,,,,,,,,,,,,,
1/24/2015,Nikita Krylov,Stanislav Nedkov,Light Heavyweight,,,,,,,,,,,,,,,
1/24/2015,Mairbek Taisumov,Anthony Christodoulou,Lightweight,,,,,,,,,,,,,,,
1/24/2015,Mirsad Bektic,Paul Redmond,Featherweight,,,,,,,,,,,,,,,
1/24/2015,Viktor Pesta,Konstantin Erokhin,Heavyweight,,,,,,,,,,,,,,,
1/24/2015,Neil Seery,Chris Beal,Flyweight,,,,,,,,,,,,,,,
1/18/2015,Conor McGregor,Dennis Siver,Featherweight,,,,,,,,,,,,,,,
1/18/2015,Donald Cerrone,Benson Henderson,Lightweight,,,,,,,,,,,,,,,
1/18/2015,Uriah Hall,Ron Stallings,Middleweight,,,,,,,,,,,,,,,
1/18/2015,Gleison Tibau,Norman Parke,Lightweight,,,,,,,,,,,,,,,
1/18/2015,Cathal Pendred,Sean Spencer,Welterweight,,,,,,,,,,,,,,,
1/18/2015,Lorenz Larkin,John Howard,Welterweight,,,,,,,,,,,,,,,
1/18/2015,Chris Wade,Zhang Lipeng,Lightweight,,,,,,,,,,,,,,,
1/18/2015,Paddy Holohan,Shane Howell,Flyweight,,,,,,,,,,,,,,,
1/18/2015,Johnny Case,Frankie Perez,Lightweight,,,,,,,,,,,,,,,
1/18/2015,Charles Rosa,Sean Soriano,Featherweight,,,,,,,,,,,,,,,
1/18/2015,Sean O'Connell,Matt Van Buren,Light Heavyweight,,,,,,,,,,,,,,,
1/18/2015,Joby Sanchez,Tateki Matsuda,Flyweight,,,,,,,,,,,,,,,
1/3/2015,Jon Jones,Daniel Cormier,Light Heavyweight,,,,,,,,,,,,,,,
1/3/2015,Donald Cerrone,Myles Jury,Lightweight,,,,,,,,,,,,,,,
1/3/2015,Brad Tavares,Nate Marquardt,Middleweight,,,,,,,,,,,,,,,
1/3/2015,Kyoji Horiguchi,Louis Gaudinot,Flyweight,,,,,,,,,,,,,,,
1/3/2015,Paul Felder,Danny Castillo,Lightweight,,,,,,,,,,,,,,,
1/3/2015,Cody Garbrandt,Marcus Brimage,Bantamweight,,,,,,,,,,,,,,,
1/3/2015,Shawn Jordan,Jared Cannonier,Heavyweight,,,,,,,,,,,,,,,
1/3/2015,Evan Dunham,Rodrigo Damm,Lightweight,,,,,,,,,,,,,,,
1/3/2015,Omari Akhmedov,Mats Nilsson,Welterweight,,,,,,,,,,,,,,,
1/3/2015,Marion Reneau,Alexis Dufresne,Women's Bantamweight,,,,,,,,,,,,,,,
12/20/2014,Lyoto Machida,CB Dollaway,Middleweight,,,,,,,,,,,,,,,
12/20/2014,Renan Barao,Mitch Gagnon,Bantamweight,,,,,,,,,,,,,,,
12/20/2014,Patrick Cummins,Antonio Carlos Junior,Light Heavyweight,,,,,,,,,,,,,,,
12/20/2014,Rashid Magomedov,Elias Silverio,Lightweight,,,,,,,,,,,,,,,
12/20/2014,Erick Silva,Mike Rhodes,Welterweight,,,,,,,,,,,,,,,
12/20/2014,Daniel Sarafian,Antonio Dos Santos,Middleweight,,,,,,,,,,,,,,,
12/20/2014,Marcos Rogerio de Lima,Igor Pokrajac,Light Heavyweight,,,,,,,,,,,,,,,
12/20/2014,Renato Moicano,Tom Niinimaki,Featherweight,,,,,,,,,,,,,,,
12/20/2014,Hacran Dias,Darren Elkins,Featherweight,,,,,,,,,,,,,,,
12/20/2014,Leandro Issa,Yuta Sasaki,Bantamweight,,,,,,,,,,,,,,,
12/20/2014,Tim Means,Marcio Alexandre Junior,Welterweight,,,,,,,,,,,,,,,
12/20/2014,Vitor Miranda,Jake Collier,Middleweight,,,,,,,,,,,,,,,
12/13/2014,Junior Dos Santos,Stipe Miocic,Heavyweight,,,,,,,,,,,,,,,
12/13/2014,Rafael Dos Anjos,Nate Diaz,Lightweight,,,,,,,,,,,,,,,
12/13/2014,Alistair Overeem,Stefan Struve,Heavyweight,,,,,,,,,,,,,,,
12/13/2014,Matt Mitrione,Gabriel Gonzaga,Heavyweight,,,,,,,,,,,,,,,
12/13/2014,Joanna Jedrzejczyk,Claudia Gadelha,Women's Strawweight,,,,,,,,,,,,,,,
12/13/2014,John Moraga,Willie Gates,Flyweight,,,,,,,,,,,,,,,
12/13/2014,Ben Saunders,Joe Riggs,Welterweight,,,,,,,,,,,,,,,
12/13/2014,Drew Dober,Jamie Varner,Lightweight,,,,,,,,,,,,,,,
12/13/2014,Bryan Barberena,Joe Ellenberger,Lightweight,,,,,,,,,,,,,,,
12/13/2014,David Michaud,Garett Whiteley,Lightweight,,,,,,,,,,,,,,,
12/13/2014,Henry Cejudo,Dustin Kimura,Bantamweight,,,,,,,,,,,,,,,
12/13/2014,Ian Entwistle,Anthony Birchak,Bantamweight,,,,,,,,,,,,,,,
12/12/2014,Carla Esparza,Rose Namajunas,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Charles Oliveira,Jeremy Stephens,Featherweight,,,,,,,,,,,,,,,
12/12/2014,Yancy Medeiros,Joe Proctor,Lightweight,,,,,,,,,,,,,,,
12/12/2014,Jessica Penne,Randa Markos,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Felice Herrig,Lisa Ellis,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Heather Clark,Bec Rawlings,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Joanne Wood,Seo Hee Ham,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Tecia Torres,Angela Magana,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Aisling Daly,Alex Chambers,Women's Strawweight,,,,,,,,,,,,,,,
12/12/2014,Angela Hill,Emily Kagan,Women's Strawweight,,,,,,,,,,,,,,,
12/6/2014,Robbie Lawler,Johny Hendricks,Welterweight,,,,,,,,,,,,,,,
12/6/2014,Anthony Pettis,Gilbert Melendez,Lightweight,,,,,,,,,,,,,,,
12/6/2014,Travis Browne,Brendan Schaub,Heavyweight,,,,,,,,,,,,,,,
12/6/2014,Todd Duffee,Anthony Hamilton,Heavyweight,,,,,,,,,,,,,,,
12/6/2014,Tony Ferguson,Abel Trujillo,Lightweight,,,,,,,,,,,,,,,
12/6/2014,Urijah Faber,Francisco Rivera,Bantamweight,,,,,,,,,,,,,,,
12/6/2014,Josh Samman,Eddie Gordon,Middleweight,,,,,,,,,,,,,,,
12/6/2014,Corey Anderson,Justin Jones,Light Heavyweight,,,,,,,,,,,,,,,
12/6/2014,Raquel Pennington,Ashlee Evans-Smith,Women's Bantamweight,,,,,,,,,,,,,,,
12/6/2014,Sergio Pettis,Matt Hobar,Bantamweight,,,,,,,,,,,,,,,
12/6/2014,Clay Collard,Alex White,Featherweight,,,,,,,,,,,,,,,
