date,r_fighter,b_fighter,weight_class,,,,,,,,,,,,,,,
11/18/2023,Myktybek Orolbai,Uros Medic,Welterweight,,,,,,,,,,,,,,,
11/18/2023,Joanderson Brito,Jonathan Pearce,Featherweight,,,,,,,,,,,,,,,
11/18/2023,Jose Johnson,Chad Anheliger,Bantamweight,,,,,,,,,,,,,,,
11/18/2023,Christian Leroy Duncan,Denis Tiuliulin,Middleweight,,,,,,,,,,,,,,,
11/18/2023,Mick Parkin,Caio Machado,Heavyweight,,,,,,,,,,,,,,,
11/18/2023,Jeka Saragih,Lucas Alexander,Featherweight,,,,,,,,,,,,,,,
11/18/2023,Ailin Perez,Lucie Pudilova,Women's Bantamweight,,,,,,,,,,,,,,,
11/18/2023,Rafael Estevam,Charles Johnson,Flyweight,,,,,,,,,,,,,,,
11/11/2023,Alex Pereira,Jiri Prochazka,Light Heavyweight,,,,,,,,,,,,,,,
11/11/2023,Tom Aspinall,Sergei Pavlovich,Heavyweight,,,,,,,,,,,,,,,
11/11/2023,Jessica Andrade,Mackenzie Dern,Women's Strawweight,,,,,,,,,,,,,,,
11/11/2023,Benoit Saint Denis,Matt Frevola,Lightweight,,,,,,,,,,,,,,,
11/11/2023,Diego Lopes,Pat Sabatini,Featherweight,,,,,,,,,,,,,,,
11/11/2023,Steve Erceg,Alessandro Costa,Flyweight,,,,,,,,,,,,,,,
11/11/2023,Loopy Godinez,Tabatha Ricci,Women's Strawweight,,,,,,,,,,,,,,,
11/11/2023,Mateusz Rebecki,Roosevelt Roberts,Lightweight,,,,,,,,,,,,,,,
11/11/2023,Jared Gordon,Mark Madsen,Lightweight,,,,,,,,,,,,,,,
11/11/2023,John Castaneda,Kyung Ho Kang,Catch Weight,,,,,,,,,,,,,,,
11/11/2023,Joshua Van,Kevin Borjas,Flyweight,,,,,,,,,,,,,,,
11/11/2023,Jamall Emmers,Dennis Buzukja,Featherweight,,,,,,,,,,,,,,,
11/11/2023,Nazim Sadykhov,Viacheslav Borshchev,Lightweight,,,,,,,,,,,,,,,
11/4/2023,Jailton Almeida,Derrick Lewis,Heavyweight,,,,,,,,,,,,,,,
11/4/2023,Nicolas Dalby,Gabriel Bonfim,Welterweight,,,,,,,,,,,,,,,
11/4/2023,Rodrigo Nascimento,Don'Tale Mayes,Heavyweight,,,,,,,,,,,,,,,
11/4/2023,Caio Borralho,Abus Magomedov,Middleweight,,,,,,,,,,,,,,,
11/4/2023,Elves Brener,Kaynan Kruschewsky,Catch Weight,,,,,,,,,,,,,,,
11/4/2023,Vitor Petrino,Modestas Bukauskas,Light Heavyweight,,,,,,,,,,,,,,,
11/4/2023,Angela Hill,Denise Gomes,Women's Strawweight,,,,,,,,,,,,,,,
11/4/2023,Eduarda Moura,Montserrat Conejo Ruiz,Women's Strawweight,,,,,,,,,,,,,,,
11/4/2023,Marc Diakiese,Kaue Fernandes,Lightweight,,,,,,,,,,,,,,,
11/4/2023,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,Welterweight,,,,,,,,,,,,,,,
10/21/2023,Islam Makhachev,Alexander Volkanovski,Lightweight,,,,,,,,,,,,,,,
10/21/2023,Khamzat Chimaev,Kamaru Usman,Middleweight,,,,,,,,,,,,,,,
10/21/2023,Ikram Aliskerov,Warlley Alves,Middleweight,,,,,,,,,,,,,,,
10/21/2023,Said Nurmagomedov,Muin Gafurov,Bantamweight,,,,,,,,,,,,,,,
10/21/2023,Muhammad Mokaev,Tim Elliott,Flyweight,,,,,,,,,,,,,,,
10/21/2023,Trevor Peek,Mohammad Yahya,Lightweight,,,,,,,,,,,,,,,
10/21/2023,Sedriques Dumas,Abu Azaitar,Middleweight,,,,,,,,,,,,,,,
10/21/2023,Mike Breeden,Anshul Jubli,Lightweight,,,,,,,,,,,,,,,
10/21/2023,Muhammad Naimov,Nathaniel Wood,Featherweight,,,,,,,,,,,,,,,
10/21/2023,Viktoriia Dudakova,Jinh Yu Frey,Women's Strawweight,,,,,,,,,,,,,,,
10/21/2023,Shara Magomedov,Bruno Silva,Middleweight,,,,,,,,,,,,,,,
10/14/2023,Edson Barboza,Sodiq Yusuff,Featherweight,,,,,,,,,,,,,,,
10/14/2023,Viviane Araujo,Jennifer Maia,Women's Flyweight,,,,,,,,,,,,,,,
10/14/2023,Jonathan Martinez,Adrian Yanez,Bantamweight,,,,,,,,,,,,,,,
10/14/2023,Michel Pereira,Andre Petroski,Middleweight,,,,,,,,,,,,,,,
10/14/2023,Christian Rodriguez,Cameron Saaiman,Bantamweight,,,,,,,,,,,,,,,
10/14/2023,Darren Elkins,TJ Brown,Featherweight,,,,,,,,,,,,,,,
10/14/2023,Tainara Lisboa,Ravena Oliveira,Women's Bantamweight,,,,,,,,,,,,,,,
10/14/2023,Terrance McKinney,Brendon Marotte,Lightweight,,,,,,,,,,,,,,,
10/14/2023,Melissa Dixon,Irina Alekseeva,Women's Bantamweight,,,,,,,,,,,,,,,
10/14/2023,Chris Gutierrez,Alatengheili,Bantamweight,,,,,,,,,,,,,,,
10/14/2023,Emily Ducote,Ashley Yoder,Women's Strawweight,,,,,,,,,,,,,,,
10/7/2023,Bobby Green,Grant Dawson,Lightweight,,,,,,,,,,,,,,,
10/7/2023,Joe Pyfer,Abdul Razak Alhassan,Middleweight,,,,,,,,,,,,,,,
10/7/2023,Joaquin Buckley,Alex Morono,Welterweight,,,,,,,,,,,,,,,
10/7/2023,Drew Dober,Ricky Glenn,Lightweight,,,,,,,,,,,,,,,
10/7/2023,Bill Algeo,Alexander Hernandez,Featherweight,,,,,,,,,,,,,,,
10/7/2023,Karolina Kowalkiewicz,Diana Belbita,Women's Strawweight,,,,,,,,,,,,,,,
10/7/2023,Nate Maness,Mateus Mendonca,Flyweight,,,,,,,,,,,,,,,
10/7/2023,Vanessa Demopoulos,Kanako Murata,Women's Strawweight,,,,,,,,,,,,,,,
10/7/2023,Aoriqileng,Johnny Munoz,Bantamweight,,,,,,,,,,,,,,,
10/7/2023,JJ Aldrich,Montana De La Rosa,Women's Flyweight,,,,,,,,,,,,,,,
9/23/2023,Mateusz Gamrot,Rafael Fiziev,Lightweight,,,,,,,,,,,,,,,
9/23/2023,Bryce Mitchell,Dan Ige,Featherweight,,,,,,,,,,,,,,,
9/23/2023,Marina Rodriguez,Michelle Waterson-Gomez,Women's Strawweight,,,,,,,,,,,,,,,
9/23/2023,Bryan Battle,AJ Fletcher,Welterweight,,,,,,,,,,,,,,,
9/23/2023,Charles Jourdain,Ricardo Ramos,Featherweight,,,,,,,,,,,,,,,
9/23/2023,Tim Means,Andre Fialho,Welterweight,,,,,,,,,,,,,,,
9/23/2023,Cody Brundage,Jacob Malkoun,Middleweight,,,,,,,,,,,,,,,
9/23/2023,Mohammed Usman,Jake Collier,Heavyweight,,,,,,,,,,,,,,,
9/23/2023,Mizuki,Hannah Goldy,Women's Strawweight,,,,,,,,,,,,,,,
9/23/2023,Montserrat Rendon,Tamires Vidal,Women's Bantamweight,,,,,,,,,,,,,,,
9/16/2023,Jack Della Maddalena,Kevin Holland,Welterweight,,,,,,,,,,,,,,,
9/16/2023,Raul Rosas Jr.,Terrence Mitchell,Bantamweight,,,,,,,,,,,,,,,
9/16/2023,Daniel Zellhuber,Christos Giagos,Lightweight,,,,,,,,,,,,,,,
9/16/2023,Kyle Nelson,Fernando Padilla,Featherweight,,,,,,,,,,,,,,,
9/16/2023,Loopy Godinez,Elise Reed,Women's Strawweight,,,,,,,,,,,,,,,
9/16/2023,Roman Kopylov,Josh Fremd,Middleweight,,,,,,,,,,,,,,,
9/16/2023,Tracy Cortez,Jasmine Jasudavicius,Women's Flyweight,,,,,,,,,,,,,,,
9/16/2023,Charlie Campbell,Alex Reyes,Lightweight,,,,,,,,,,,,,,,
9/16/2023,Josefine Knutsson,Marnic Mann,Women's Strawweight,,,,,,,,,,,,,,,
9/16/2023,Alexa Grasso,Valentina Shevchenko,Women's Flyweight,,,,,,,,,,,,,,,
9/9/2023,Sean Strickland,Israel Adesanya,Middleweight,,,,,,,,,,,,,,,
9/9/2023,Alexander Volkov,Tai Tuivasa,Heavyweight,,,,,,,,,,,,,,,
9/9/2023,Manel Kape,Felipe dos Santos,Flyweight,,,,,,,,,,,,,,,
9/9/2023,Justin Tafa,Austen Lane,Heavyweight,,,,,,,,,,,,,,,
9/9/2023,Tyson Pedro,Anton Turkalj,Light Heavyweight,,,,,,,,,,,,,,,
9/9/2023,Carlos Ulberg,Da Woon Jung,Light Heavyweight,,,,,,,,,,,,,,,
9/9/2023,Chepe Mariscal,Jack Jenkins,Featherweight,,,,,,,,,,,,,,,
9/9/2023,Jamie Mullarkey,John Makdessi,Lightweight,,,,,,,,,,,,,,,
9/9/2023,Nasrat Haqparast,Landon Quinones,Lightweight,,,,,,,,,,,,,,,
9/9/2023,Charles Radtke,Blood Diamond,Welterweight,,,,,,,,,,,,,,,
9/9/2023,Gabriel Miranda,Shane Young,Featherweight,,,,,,,,,,,,,,,
9/9/2023,Kevin Jousset,Kiefer Crosbie,Welterweight,,,,,,,,,,,,,,,
9/2/2023,Ciryl Gane,Serghei Spivac,Heavyweight,,,,,,,,,,,,,,,
9/2/2023,Manon Fiorot,Rose Namajunas,Women's Flyweight,,,,,,,,,,,,,,,
9/2/2023,Benoit Saint Denis,Thiago Moises,Lightweight,,,,,,,,,,,,,,,
9/2/2023,Volkan Oezdemir,Bogdan Guskov,Light Heavyweight,,,,,,,,,,,,,,,
9/2/2023,William Gomis,Yanis Ghemmouri,Featherweight,,,,,,,,,,,,,,,
9/2/2023,Morgan Charriere,Manolo Zecchini,Featherweight,,,,,,,,,,,,,,,
9/2/2023,Taylor Lapilus,Caolan Loughran,Bantamweight,,,,,,,,,,,,,,,
9/2/2023,Ange Loosa,Rhys McKee,Welterweight,,,,,,,,,,,,,,,
9/2/2023,Nora Cornolle,Joselyne Edwards,Women's Bantamweight,,,,,,,,,,,,,,,
9/2/2023,Farid Basharat,Kleydson Rodrigues,Bantamweight,,,,,,,,,,,,,,,
9/2/2023,Jacqueline Cavalcanti,Zarah Fairn,Catch Weight,,,,,,,,,,,,,,,
8/26/2023,Max Holloway,Chan Sung Jung,Featherweight,,,,,,,,,,,,,,,
8/26/2023,Anthony Smith,Ryan Spann,Light Heavyweight,,,,,,,,,,,,,,,
8/26/2023,Giga Chikadze,Alex Caceres,Featherweight,,,,,,,,,,,,,,,
8/26/2023,Rinya Nakamura,Fernie Garcia,Bantamweight,,,,,,,,,,,,,,,
8/26/2023,Erin Blanchfield,Taila Santos,Women's Flyweight,,,,,,,,,,,,,,,
8/26/2023,Junior Tafa,Parker Porter,Heavyweight,,,,,,,,,,,,,,,
8/26/2023,Waldo Cortes-Acosta,Lukasz Brzeski,Heavyweight,,,,,,,,,,,,,,,
8/26/2023,Garrett Armfield,Toshiomi Kazama,Bantamweight,,,,,,,,,,,,,,,
8/26/2023,Michal Oleksiejczuk,Chidi Njokuani,Middleweight,,,,,,,,,,,,,,,
8/26/2023,Song Kenan,Rolando Bedoya,Welterweight,,,,,,,,,,,,,,,
8/26/2023,Billy Goff,Yusaku Kinoshita,Welterweight,,,,,,,,,,,,,,,
8/26/2023,JJ Aldrich,Liang Na,Women's Flyweight,,,,,,,,,,,,,,,
8/26/2023,SeungWoo Choi,Jarno Errens,Featherweight,,,,,,,,,,,,,,,
8/19/2023,Sean O'Malley,Aljamain Sterling,Bantamweight,,,,,,,,,,,,,,,
8/19/2023,Zhang Weili,Amanda Lemos,Women's Strawweight,,,,,,,,,,,,,,,
8/19/2023,Ian Machado Garry,Neil Magny,Welterweight,,,,,,,,,,,,,,,
8/19/2023,Mario Bautista,Da'Mon Blackshear,Bantamweight,,,,,,,,,,,,,,,
8/19/2023,Marlon Vera,Pedro Munhoz,Bantamweight,,,,,,,,,,,,,,,
8/19/2023,Brad Tavares,Chris Weidman,Middleweight,,,,,,,,,,,,,,,
8/19/2023,Gregory Rodrigues,Denis Tiuliulin,Middleweight,,,,,,,,,,,,,,,
8/19/2023,Kurt Holobaugh,Austin Hubbard,Lightweight,,,,,,,,,,,,,,,
8/19/2023,Brad Katona,Cody Gibson,Bantamweight,,,,,,,,,,,,,,,
8/19/2023,Andre Petroski,Gerald Meerschaert,Middleweight,,,,,,,,,,,,,,,
8/19/2023,Natalia Silva,Andrea Lee,Women's Flyweight,,,,,,,,,,,,,,,
8/19/2023,Karine Silva,Maryna Moroz,Women's Flyweight,,,,,,,,,,,,,,,
