name,height,weight,reach,stance
Nasrat Haqparast,177.8,70.31,182.88,Southpaw
Jamie Mullarkey,182.88,70.31,187.96,Orthodox
Tim Elliott,170.18,56.7,167.64,Southpaw
Sumudaerji,172.72,56.7,182.88,Southpaw
JunYong Park,177.8,83.91,185.42,Orthodox
Andre Muniz,185.42,83.91,198.12,Southpaw
Song Kenan,182.88,77.11,180.34,Orthodox
Kevin Jousset,187.96,77.11,190.5,Orthodox
HyunSung Park,170.18,56.7,167.64,Orthodox
Shannon Ross,167.64,56.7,167.64,Switch
Steve Garcia,182.88,70.31,190.5,Southpaw
Melquizael Costa,177.8,70.31,180.34,Southpaw
Luana Santos,167.64,61.23,170.18,Orthodox
Stephanie Egger,167.64,61.23,172.72,Orthodox
Tatsuro Taira,170.18,56.7,177.8,Orthodox
Carlos Hernandez,172.72,56.7,170.18,Orthodox
Rayanne Amanda,157.48,52.16,157.48,Orthodox
Talita Alencar,154.94,52.16,147.32,Orthodox
Beneil Dariush,177.8,70.31,182.88,Southpaw
Arman Tsarukyan,170.18,70.31,182.88,Orthodox
Jalin Turner,190.5,70.31,195.58,Southpaw
Bobby Green,177.8,70.31,180.34,Orthodox
Rob Font,172.72,61.23,180.34,Orthodox
Deiveson Figueiredo,165.1,61.23,172.72,Orthodox
Sean Brady,177.8,77.11,182.88,Orthodox
Kelvin Gastelum,175.26,77.11,180.34,Southpaw
Clay Guida,170.18,70.31,177.8,Orthodox
Joaquim Silva,172.72,70.31,175.26,Southpaw
Punahele Soriano,180.34,83.91,182.88,Southpaw
Dustin Stoltzfus,182.88,83.91,190.5,Orthodox
Miesha Tate,167.64,61.23,165.1,Orthodox
Julia Avila,170.18,61.23,172.72,Orthodox
Zach Reese,193.04,83.91,195.58,Switch
Cody Brundage,182.88,83.91,182.88,Orthodox
Drakkar Klose,175.26,70.31,177.8,Orthodox
Joe Solecki,175.26,70.31,177.8,Orthodox
Rodolfo Bellato,190.5,92.99,195.58,Orthodox
Wellington Turman,182.88,77.11,182.88,Orthodox
Jared Gooden,182.88,77.11,195.58,Orthodox
Veronica Hardy,162.56,56.7,162.56,Southpaw
Jamey-Lyn Horth,170.18,56.7,167.64,Orthodox
Brendan Allen,187.96,83.91,190.5,Orthodox
Paul Craig,190.5,83.91,193.04,Orthodox
Michael Morales,182.88,77.11,200.66,Orthodox
Jake Matthews,180.34,77.11,185.42,Orthodox
Chase Hooper,185.42,70.31,187.96,Southpaw
Jordan Leavitt,175.26,70.31,180.34,Southpaw
Nick Aguirre,175.26,61.23,187.96,Southpaw
