name,height,weight,reach,stance
JeongYeong Lee,177.8,65.77,185.42,1
Blake Bilder,172.72,65.77,172.72,4
Luana Carolina,167.64,56.7,175.26,1
Julija Stoliarenko,170.18,56.7,167.64,1
Landon Quinones,175.26,70.31,177.8,3
MarQuel Mederos,177.8,70.31,175.26,1
Thomas Petersen,185.42,119.75,187.96,3
Jamal Pogues,190.5,92.99,195.58,1
Sean Strickland,185.42,83.91,193.04,1
Dricus Du Plessis,185.42,83.91,193.04,4
Raquel Pennington,170.18,61.23,170.18,1
Mayra Bueno Silva,167.64,61.23,167.64,1
Neil Magny,190.5,77.11,203.2,1
Mike Malott,185.42,77.11,185.42,1
Chris Curtis,177.8,83.91,190.5,1
Marc-Andre Barriault,185.42,83.91,187.96,1
Arnold Allen,172.72,65.77,177.8,3
Movsar Evloev,170.18,65.77,182.88,1
Brad Katona,167.64,61.23,162.56,1
Garrett Armfield,167.64,61.23,177.8,1
Charles Jourdain,175.26,65.77,175.26,4
Sean Woodson,187.96,65.77,198.12,1
Serhiy Sidey,180.34,61.23,182.88,4
Ramon Taveras,172.72,61.23,177.8,3
Gillian Robertson,165.1,52.16,160.02,1
Polyana Viana,165.1,52.16,170.18,1
Yohan Lainesse,185.42,77.11,193.04,1
Sam Patterson,190.5,70.31,198.12,1
Jasmine Jasudavicius,170.18,56.7,172.72,1
Priscila Cachoeira,170.18,56.7,165.1,1
Malcolm Gordon,170.18,56.7,180.34,4
Jimmy Flick,170.18,56.7,172.72,1
Magomed Ankalaev,190.5,92.99,190.5,1
Johnny Walker,198.12,92.99,208.28,1
Jim Miller,172.72,70.31,180.34,3
Gabriel Benitez,172.72,70.31,180.34,3
Ricky Simon,167.64,61.23,175.26,1
Mario Bautista,175.26,61.23,175.26,4
Phil Hawes,182.88,83.91,195.58,1
Brunno Ferreira,177.8,83.91,182.88,1
Andrei Arlovski,190.5,108.86,195.58,1
Waldo Cortes-Acosta,193.04,117.93,198.12,1
Matthew Semelsberger,185.42,77.11,190.5,4
Preston Parsons,180.34,77.11,180.34,1
Marcus McGhee,172.72,61.23,175.26,1
Gaston Bolanos,170.18,61.23,175.26,1
Farid Basharat,172.72,61.23,180.34,1
Taylor Lapilus,167.64,61.23,185.42,3
Westin Wilson,185.42,65.77,185.42,3
Jean Silva,170.18,65.77,175.26,1
Nikolas Motta,175.26,70.31,177.8,1
Tom Nolan,190.5,70.31,185.42,3
Joshua Van,165.1,56.7,165.1,1
Felipe Bunes,170.18,56.7,175.26,1
Leon Edwards,187.96,77.11,187.96,3
Colby Covington,180.34,77.11,182.88,1
Alexandre Pantoja,165.1,56.7,170.18,1
Shavkat Rakhmonov,185.42,77.11,195.58,1
Stephen Thompson,182.88,77.11,190.5,1
